Date,Load,Zone
1/1/2017 12:00:00 AM,1293,Capitl
1/1/2017 12:00:00 AM,1663,Centrl
1/1/2017 12:00:00 AM,664,Dunwod
1/1/2017 12:00:00 AM,963,Genese
1/1/2017 12:00:00 AM,1031,Hud Vl
1/1/2017 12:00:00 AM,2316,Longil
1/1/2017 12:00:00 AM,726,Mhk Vl
1/1/2017 12:00:00 AM,351,Millwd
1/1/2017 12:00:00 AM,5345,N.Y.C.
1/1/2017 12:00:00 AM,558,North
1/1/2017 12:00:00 AM,1602,West
1/1/2017 12:00:00 AM,16512,NYISO
1/1/2017 1:00:00 AM,1244,Capitl
1/1/2017 1:00:00 AM,1608,Centrl
1/1/2017 1:00:00 AM,644,Dunwod
1/1/2017 1:00:00 AM,924,Genese
1/1/2017 1:00:00 AM,981,Hud Vl
1/1/2017 1:00:00 AM,2207,Longil
1/1/2017 1:00:00 AM,692,Mhk Vl
1/1/2017 1:00:00 AM,332,Millwd
1/1/2017 1:00:00 AM,5212,N.Y.C.
1/1/2017 1:00:00 AM,552,North
1/1/2017 1:00:00 AM,1548,West
1/1/2017 1:00:00 AM,15944,NYISO
1/1/2017 2:00:00 AM,1213,Capitl
1/1/2017 2:00:00 AM,1571,Centrl
1/1/2017 2:00:00 AM,627,Dunwod
1/1/2017 2:00:00 AM,898,Genese
1/1/2017 2:00:00 AM,946,Hud Vl
1/1/2017 2:00:00 AM,2124,Longil
1/1/2017 2:00:00 AM,672,Mhk Vl
1/1/2017 2:00:00 AM,325,Millwd
1/1/2017 2:00:00 AM,5094,N.Y.C.
1/1/2017 2:00:00 AM,548,North
1/1/2017 2:00:00 AM,1510,West
1/1/2017 2:00:00 AM,15528,NYISO
1/1/2017 3:00:00 AM,1195,Capitl
1/1/2017 3:00:00 AM,1549,Centrl
1/1/2017 3:00:00 AM,613,Dunwod
1/1/2017 3:00:00 AM,882,Genese
1/1/2017 3:00:00 AM,931,Hud Vl
1/1/2017 3:00:00 AM,2069,Longil
1/1/2017 3:00:00 AM,659,Mhk Vl
1/1/2017 3:00:00 AM,313,Millwd
1/1/2017 3:00:00 AM,5008,N.Y.C.
1/1/2017 3:00:00 AM,544,North
1/1/2017 3:00:00 AM,1487,West
1/1/2017 3:00:00 AM,15250,NYISO
1/1/2017 4:00:00 AM,1187,Capitl
1/1/2017 4:00:00 AM,1536,Centrl
1/1/2017 4:00:00 AM,606,Dunwod
1/1/2017 4:00:00 AM,875,Genese
1/1/2017 4:00:00 AM,927,Hud Vl
1/1/2017 4:00:00 AM,2036,Longil
1/1/2017 4:00:00 AM,657,Mhk Vl
1/1/2017 4:00:00 AM,307,Millwd
1/1/2017 4:00:00 AM,4944,N.Y.C.
1/1/2017 4:00:00 AM,541,North
1/1/2017 4:00:00 AM,1475,West
1/1/2017 4:00:00 AM,15091,NYISO
1/1/2017 5:00:00 AM,1181,Capitl
1/1/2017 5:00:00 AM,1526,Centrl
1/1/2017 5:00:00 AM,598,Dunwod
1/1/2017 5:00:00 AM,868,Genese
1/1/2017 5:00:00 AM,929,Hud Vl
1/1/2017 5:00:00 AM,2003,Longil
1/1/2017 5:00:00 AM,659,Mhk Vl
1/1/2017 5:00:00 AM,304,Millwd
1/1/2017 5:00:00 AM,4880,N.Y.C.
1/1/2017 5:00:00 AM,542,North
1/1/2017 5:00:00 AM,1465,West
1/1/2017 5:00:00 AM,14955,NYISO
1/1/2017 6:00:00 AM,1162,Capitl
1/1/2017 6:00:00 AM,1501,Centrl
1/1/2017 6:00:00 AM,579,Dunwod
1/1/2017 6:00:00 AM,851,Genese
1/1/2017 6:00:00 AM,917,Hud Vl
1/1/2017 6:00:00 AM,1940,Longil
1/1/2017 6:00:00 AM,660,Mhk Vl
1/1/2017 6:00:00 AM,296,Millwd
1/1/2017 6:00:00 AM,4763,N.Y.C.
1/1/2017 6:00:00 AM,540,North
1/1/2017 6:00:00 AM,1446,West
1/1/2017 6:00:00 AM,14655,NYISO
1/1/2017 7:00:00 AM,1177,Capitl
1/1/2017 7:00:00 AM,1518,Centrl
1/1/2017 7:00:00 AM,567,Dunwod
1/1/2017 7:00:00 AM,855,Genese
1/1/2017 7:00:00 AM,926,Hud Vl
1/1/2017 7:00:00 AM,1907,Longil
1/1/2017 7:00:00 AM,673,Mhk Vl
1/1/2017 7:00:00 AM,293,Millwd
1/1/2017 7:00:00 AM,4656,N.Y.C.
1/1/2017 7:00:00 AM,546,North
1/1/2017 7:00:00 AM,1446,West
1/1/2017 7:00:00 AM,14564,NYISO
1/1/2017 8:00:00 AM,1249,Capitl
1/1/2017 8:00:00 AM,1573,Centrl
1/1/2017 8:00:00 AM,584,Dunwod
1/1/2017 8:00:00 AM,882,Genese
1/1/2017 8:00:00 AM,976,Hud Vl
1/1/2017 8:00:00 AM,1972,Longil
1/1/2017 8:00:00 AM,730,Mhk Vl
1/1/2017 8:00:00 AM,304,Millwd
1/1/2017 8:00:00 AM,4697,N.Y.C.
1/1/2017 8:00:00 AM,563,North
1/1/2017 8:00:00 AM,1469,West
1/1/2017 8:00:00 AM,14999,NYISO
1/1/2017 9:00:00 AM,1328,Capitl
1/1/2017 9:00:00 AM,1640,Centrl
1/1/2017 9:00:00 AM,614,Dunwod
1/1/2017 9:00:00 AM,920,Genese
1/1/2017 9:00:00 AM,1033,Hud Vl
1/1/2017 9:00:00 AM,2073,Longil
1/1/2017 9:00:00 AM,790,Mhk Vl
1/1/2017 9:00:00 AM,323,Millwd
1/1/2017 9:00:00 AM,4831,N.Y.C.
1/1/2017 9:00:00 AM,581,North
1/1/2017 9:00:00 AM,1519,West
1/1/2017 9:00:00 AM,15652,NYISO
1/1/2017 10:00:00 AM,1363,Capitl
1/1/2017 10:00:00 AM,1674,Centrl
1/1/2017 10:00:00 AM,636,Dunwod
1/1/2017 10:00:00 AM,947,Genese
1/1/2017 10:00:00 AM,1065,Hud Vl
1/1/2017 10:00:00 AM,2137,Longil
1/1/2017 10:00:00 AM,818,Mhk Vl
1/1/2017 10:00:00 AM,324,Millwd
1/1/2017 10:00:00 AM,4990,N.Y.C.
1/1/2017 10:00:00 AM,587,North
